mot,définition(s) belge(s),origine_wallonne,existe_sens_standard
couillon,Jeu de cartes proche du poker. Personne naïve,non,oui
coulon,Pigeon voyageur.,non,non
coulonneux,Colombophile.,non,non
couque,"Brioche, petit pistolet, biscuit, pain d'épice ou viennoiserie, nom générique donné aux pâtisseries. | Biscuit, de différentes formes (sapins et père Noël, fleurs, etc.) que l’on déguste surtout au temps des fêtes.",non,oui
coussin,"Objet rembourré qui sert à soutenir la tête quand on est couché, par exemple sur un lit.",non,oui
couyon,"Jeu de cartes de la région de Malmédy notamment, mais il se pratique dans toute la Wallonie.",non,non
cramignon,Danse ou air populaire de la région de Liège.,non,non
cramique,Pain brioché au raisin sec.,non,non
crampe,Barre à mine.,non,oui
craquelin,Pain au lait avec des pépites de sucre sur le dessus.,non,oui
crocheter,"Broder au crochet, garnir des dessins ou créer de la dentelle de fil à l’aide d’un crochet.",non,oui
crolle,Boucle de cheveux.,non,oui
croller,Boucler.,non,oui
crollé,"Bouclé, frisé.",non,oui
croustillon,"Beignet frit, le plus souvent saupoudré de sucre glace, que l’on achète sur les foires et les kermesses.",non,oui
croûton,Petit résidu dur ou trop cuit d'une portion de frites s’accumulant au fond du contenant.,non,oui
cru,"En parlant du temps, froid et humide.",non,oui
cuberdon,"Friandise, bonbon de forme conique, de couleur violacée, d’environ 2,5 cm de haut. | Cône de signalisation, cône de chantier.",non,non
cugnole,Brioche consommée durant la période de la Saint-Nicolas et de Noël. Sa forme rappelle celle d’un bébé emmailloté et fait ainsi référence à l’enfant Jésus.,non,non
cuisine-de-cave,Cuisine en sous-sol.,non,non
cuistax,"Vélocipède que l’on loue sur la côte belge ou dans d’autres lieux de villégiature, comportant plus de deux roues (tricycles, quadricycles), muni d’un nombre variable de sièges et de pédaliers, et loué aux estivants par des exploitants spécialisés en vue de la promenade ou du divertissement.",non,non
cuivrerie,Ensemble d’ustensiles de cuisine en cuivre ; dinanderie.,non,oui
cul,De la (bonne) chance.,non,oui
culpeux,Délictueux.,non,oui
cumulet,"Culbute, roulade.",non,non
